PRJNA1191970	12
PRJNA1185243	42
PRJNA1176539	42
PRJNA1175639	16
PRJNA1171814	11
PRJNA1165993	11
PRJNA1165739	40
PRJNA1133701	36
PRJNA1127555	12
PRJNA1120369	40
PRJNA1108066	12
PRJNA1105191	33
PRJNA1014965	40
PRJNA1014106	12
PRJNA996357	11
PRJNA987832	12
PRJNA976462	34
PRJNA903521	14
PRJNA884190	13
PRJNA876028	12
PRJNA838478	12
PRJNA788948	19
PRJNA786266	15
PRJNA767228	15
PRJNA752868	20
PRJNA734133	17
PRJNA673745	12
PRJNA673295	12
PRJNA664293	24
PRJNA639922	15
PRJNA634200	30
PRJNA625628	11
PRJNA623750	12
PRJNA610985	37
PRJNA544334	28
PRJNA528522	19
PRJNA509121	39
PRJNA488042	20
PRJNA480287	48
PRJNA479479	12
PRJNA451395	11
PRJNA419934	34
PRJNA416439	48
PRJNA397941	43
PRJNA386992	47
PRJNA384289	14
PRJNA381757	23
PRJNA381115	18
PRJNA378952	19
PRJNA373978	15
PRJNA352875	12
PRJNA321967	12
PRJNA321087	42
PRJNA321028	16
PRJNA316201	26
