Run,condition,condition_raw,condition_role,class_field,metadata_status
SRR19240027,unlabeled_amniotic_fluid,unlabeled amniotic fluid,class,manual_override,manual_multi_class
SRR19240031,unlabeled_amniotic_fluid,unlabeled amniotic fluid,class,manual_override,manual_multi_class
SRR19240026,hydronephrosis_patient_cell,hydronephrosis patient cell,class,manual_override,manual_multi_class
SRR19240028,unlabeled_amniotic_fluid,unlabeled amniotic fluid,class,manual_override,manual_multi_class
SRR19240032,unlabeled_amniotic_fluid,unlabeled amniotic fluid,class,manual_override,manual_multi_class
SRR19240029,hydronephrosis_patient_supernatant,hydronephrosis patient supernatant,class,manual_override,manual_multi_class
SRR19240024,unlabeled_amniotic_fluid,unlabeled amniotic fluid,class,manual_override,manual_multi_class
SRR19240022,unlabeled_amniotic_fluid,unlabeled amniotic fluid,class,manual_override,manual_multi_class
SRR19240033,hydronephrosis_patient_supernatant,hydronephrosis patient supernatant,class,manual_override,manual_multi_class
SRR19240023,unlabeled_amniotic_fluid,unlabeled amniotic fluid,class,manual_override,manual_multi_class
SRR19240025,unlabeled_amniotic_fluid,unlabeled amniotic fluid,class,manual_override,manual_multi_class
SRR19240030,control_cell,control cell,control,manual_override,manual_multi_class
