Run,condition,condition_raw,condition_role,class_field,metadata_status
SRR5258804,leptotene_zygotene_spermatocytes,leptotene-zygotene spermatocytes,class,cell_type,two_class_candidate
SRR5258803,leptotene_zygotene_spermatocytes,leptotene-zygotene spermatocytes,class,cell_type,two_class_candidate
SRR5247110,pachytene_spermatocytes,pachytene spermatocytes,class,cell_type,two_class_candidate
SRR5258802,leptotene_zygotene_spermatocytes,leptotene-zygotene spermatocytes,class,cell_type,two_class_candidate
SRR5247106,pachytene_spermatocytes,pachytene spermatocytes,class,cell_type,two_class_candidate
SRR5258801,leptotene_zygotene_spermatocytes,leptotene-zygotene spermatocytes,class,cell_type,two_class_candidate
SRR5247101,pachytene_spermatocytes,pachytene spermatocytes,class,cell_type,two_class_candidate
SRR5247104,pachytene_spermatocytes,pachytene spermatocytes,class,cell_type,two_class_candidate
SRR5258800,leptotene_zygotene_spermatocytes,leptotene-zygotene spermatocytes,class,cell_type,two_class_candidate
SRR5247108,pachytene_spermatocytes,pachytene spermatocytes,class,cell_type,two_class_candidate
SRR5247103,pachytene_spermatocytes,pachytene spermatocytes,class,cell_type,two_class_candidate
SRR5247105,pachytene_spermatocytes,pachytene spermatocytes,class,cell_type,two_class_candidate
SRR5247109,pachytene_spermatocytes,pachytene spermatocytes,class,cell_type,two_class_candidate
SRR5247107,pachytene_spermatocytes,pachytene spermatocytes,class,cell_type,two_class_candidate
SRR5247102,pachytene_spermatocytes,pachytene spermatocytes,class,cell_type,two_class_candidate
