Run,condition,condition_raw,condition_role,class_field,metadata_status
SRR11563718,lcl,LCL / blood-derived lymphoblastoid cells,class,manual_override,manual_two_class
SRR11563717,fb,FB / skin fibroblasts,class,manual_override,manual_two_class
SRR11563713,lcl,LCL / blood-derived lymphoblastoid cells,class,manual_override,manual_two_class
SRR11563709,lcl,LCL / blood-derived lymphoblastoid cells,class,manual_override,manual_two_class
SRR11563716,lcl,LCL / blood-derived lymphoblastoid cells,class,manual_override,manual_two_class
SRR11563710,lcl,LCL / blood-derived lymphoblastoid cells,class,manual_override,manual_two_class
SRR11563715,lcl,LCL / blood-derived lymphoblastoid cells,class,manual_override,manual_two_class
SRR11563711,fb,FB / skin fibroblasts,class,manual_override,manual_two_class
SRR11563708,lcl,LCL / blood-derived lymphoblastoid cells,class,manual_override,manual_two_class
SRR11563712,lcl,LCL / blood-derived lymphoblastoid cells,class,manual_override,manual_two_class
SRR11563714,fb,FB / skin fibroblasts,class,manual_override,manual_two_class
