Run,condition,condition_raw,condition_role,class_field,metadata_status
SRR5397316,csqt_2,CSQT-2,class,manual_override,manual_multi_class
SRR5397331,snu_398,SNU-398,class,manual_override,manual_multi_class
SRR5397318,hcclm1_s3,HCCLM1-S3,class,manual_override,manual_multi_class
SRR5397329,plc_5,PLC-5,class,manual_override,manual_multi_class
SRR5397323,hcclnm1_s13,HCCLnM1-S13,class,manual_override,manual_multi_class
SRR5397326,huh7,Huh7,class,manual_override,manual_multi_class
SRR5397319,hcclm1_s4,HCCLM1-S4,class,manual_override,manual_multi_class
SRR5397322,hcclnm1_s11,HCCLnM1-S11,class,manual_override,manual_multi_class
SRR5397320,hcclm1_s5,HCCLM1-S5,class,manual_override,manual_multi_class
SRR5397321,hcclm3,HCCLM3,class,manual_override,manual_multi_class
SRR5397317,hcclm1_s11,HCCLM1-S11,class,manual_override,manual_multi_class
SRR5397314,bel_7402,Bel-7402,class,manual_override,manual_multi_class
SRR5397315,csqt_1,CSQT-1,class,manual_override,manual_multi_class
SRR5397328,mhcc_97l,MHCC-97L,class,manual_override,manual_multi_class
SRR5397327,mhcc_97h,MHCC-97H,class,manual_override,manual_multi_class
SRR5397324,hep3b,Hep3B,class,manual_override,manual_multi_class
SRR5397330,smmc_7721,SMMC-7721,class,manual_override,manual_multi_class
SRR5397325,hepg2,HepG2,class,manual_override,manual_multi_class
