Run,condition,condition_raw,condition_role,class_field,metadata_status
SRR16216975,mcf102a,MCF102A,class,manual_override,manual_multi_class
SRR16216976,mdamb231,MDAMB231,class,manual_override,manual_multi_class
SRR16216964,skbr3,SKBR3,class,manual_override,manual_multi_class
SRR16216972,mdamb361,MDAMB361,class,manual_override,manual_multi_class
SRR16216968,mcf7,MCF7,class,manual_override,manual_multi_class
SRR16216971,mdamb361,MDAMB361,class,manual_override,manual_multi_class
SRR16216966,skbr3,SKBR3,class,manual_override,manual_multi_class
SRR16216974,mcf102a,MCF102A,class,manual_override,manual_multi_class
SRR16216977,mdamb231,MDAMB231,class,manual_override,manual_multi_class
SRR16216967,mcf7,MCF7,class,manual_override,manual_multi_class
SRR16216969,mcf7,MCF7,class,manual_override,manual_multi_class
SRR16216965,skbr3,SKBR3,class,manual_override,manual_multi_class
SRR16216973,mdamb231,MDAMB231,class,manual_override,manual_multi_class
SRR16216970,mdamb361,MDAMB361,class,manual_override,manual_multi_class
SRR16216963,mcf102a,MCF102A,class,manual_override,manual_multi_class
