Run,condition,condition_raw,condition_role,class_field,metadata_status
SRR30840183,kasumi1_crl2724,Kasumi-1 / CRL-2724,class,manual_override,manual_multi_class
SRR30840180,kasumi1_crl2724,Kasumi-1 / CRL-2724,class,manual_override,manual_multi_class
SRR30840201,hl60_ccl240,HL-60 / CCL-240,class,manual_override,manual_multi_class
SRR30840181,kasumi1_crl2724,Kasumi-1 / CRL-2724,class,manual_override,manual_multi_class
SRR30840195,thp1_tib202,THP-1 / TIB-202,class,manual_override,manual_multi_class
SRR30840169,thp1_tib202,THP-1 / TIB-202,class,manual_override,manual_multi_class
SRR30840193,k562_ccl243,K562 / CCL-243,class,manual_override,manual_multi_class
SRR30840199,hl60_ccl240,HL-60 / CCL-240,class,manual_override,manual_multi_class
SRR30840194,k562_ccl243,K562 / CCL-243,class,manual_override,manual_multi_class
SRR30840189,k562_ccl243,K562 / CCL-243,class,manual_override,manual_multi_class
SRR30840175,kasumi1_crl2724,Kasumi-1 / CRL-2724,class,manual_override,manual_multi_class
SRR30840186,k562_ccl243,K562 / CCL-243,class,manual_override,manual_multi_class
SRR30840204,hl60_ccl240,HL-60 / CCL-240,class,manual_override,manual_multi_class
SRR30840179,kasumi1_crl2724,Kasumi-1 / CRL-2724,class,manual_override,manual_multi_class
SRR30840173,thp1_tib202,THP-1 / TIB-202,class,manual_override,manual_multi_class
SRR30840196,hl60_ccl240,HL-60 / CCL-240,class,manual_override,manual_multi_class
SRR30840190,k562_ccl243,K562 / CCL-243,class,manual_override,manual_multi_class
SRR30840202,hl60_ccl240,HL-60 / CCL-240,class,manual_override,manual_multi_class
SRR30840197,hl60_ccl240,HL-60 / CCL-240,class,manual_override,manual_multi_class
SRR30840206,thp1_tib202,THP-1 / TIB-202,class,manual_override,manual_multi_class
SRR30840200,hl60_ccl240,HL-60 / CCL-240,class,manual_override,manual_multi_class
SRR30840174,kasumi1_crl2724,Kasumi-1 / CRL-2724,class,manual_override,manual_multi_class
SRR30840177,kasumi1_crl2724,Kasumi-1 / CRL-2724,class,manual_override,manual_multi_class
SRR30840205,hl60_ccl240,HL-60 / CCL-240,class,manual_override,manual_multi_class
SRR30840171,thp1_tib202,THP-1 / TIB-202,class,manual_override,manual_multi_class
SRR30840198,hl60_ccl240,HL-60 / CCL-240,class,manual_override,manual_multi_class
SRR30840172,thp1_tib202,THP-1 / TIB-202,class,manual_override,manual_multi_class
SRR30840176,kasumi1_crl2724,Kasumi-1 / CRL-2724,class,manual_override,manual_multi_class
SRR30840188,k562_ccl243,K562 / CCL-243,class,manual_override,manual_multi_class
SRR30840168,thp1_tib202,THP-1 / TIB-202,class,manual_override,manual_multi_class
SRR30840191,k562_ccl243,K562 / CCL-243,class,manual_override,manual_multi_class
SRR30840187,k562_ccl243,K562 / CCL-243,class,manual_override,manual_multi_class
SRR30840192,k562_ccl243,K562 / CCL-243,class,manual_override,manual_multi_class
SRR30840182,kasumi1_crl2724,Kasumi-1 / CRL-2724,class,manual_override,manual_multi_class
SRR30840185,k562_ccl243,K562 / CCL-243,class,manual_override,manual_multi_class
SRR30840207,thp1_tib202,THP-1 / TIB-202,class,manual_override,manual_multi_class
SRR30840203,hl60_ccl240,HL-60 / CCL-240,class,manual_override,manual_multi_class
SRR30840184,thp1_tib202,THP-1 / TIB-202,class,manual_override,manual_multi_class
SRR30840170,thp1_tib202,THP-1 / TIB-202,class,manual_override,manual_multi_class
SRR30840178,kasumi1_crl2724,Kasumi-1 / CRL-2724,class,manual_override,manual_multi_class
