Run,condition,condition_raw,condition_role,class_field,metadata_status
SRR3543516,spermatids,spermatids,class,manual_override,manual_multi_class
SRR3538933,sertoli_cells,Sertoli cells,class,manual_override,manual_multi_class
SRR3543512,primary_spermatocytes,primary spermatocytes,class,manual_override,manual_multi_class
SRR3543519,undifferentiated_spermatogonia,undifferentiated spermatogonia,class,manual_override,manual_multi_class
SRR3538932,sertoli_cells,Sertoli cells,class,manual_override,manual_multi_class
SRR3543515,spermatids,spermatids,class,manual_override,manual_multi_class
SRR3543511,primary_spermatocytes,primary spermatocytes,class,manual_override,manual_multi_class
SRR3543514,spermatids,spermatids,class,manual_override,manual_multi_class
SRR3543517,undifferentiated_spermatogonia,undifferentiated spermatogonia,class,manual_override,manual_multi_class
SRR3538834,sertoli_cells,Sertoli cells,class,manual_override,manual_multi_class
SRR3543513,primary_spermatocytes,primary spermatocytes,class,manual_override,manual_multi_class
SRR3543518,undifferentiated_spermatogonia,undifferentiated spermatogonia,class,manual_override,manual_multi_class
