Run,condition,condition_raw,condition_role,class_field,metadata_status
SRR8775753,organoid_expansion_medium,organoid expansion medium,class,manual_override,manual_multi_class
SRR9325679,hepatic_endoderm,hPSC hepatic endoderm,class,manual_override,manual_multi_class
SRR8775751,hepatic_endoderm,hPSC hepatic endoderm,class,manual_override,manual_multi_class
SRR8775754,organoid_differentiation_medium,organoid differentiation medium,class,manual_override,manual_multi_class
SRR8775759,pluripotent_stem_cell,human pluripotent stem cell,class,manual_override,manual_multi_class
SRR8775765,mature_hepatocytes,hPSC mature hepatocytes,class,manual_override,manual_multi_class
SRR8775766,organoid_differentiation_medium,organoid differentiation medium,class,manual_override,manual_multi_class
SRR8775764,mature_hepatocytes,hPSC mature hepatocytes,class,manual_override,manual_multi_class
SRR8775762,pluripotent_stem_cell,human pluripotent stem cell,class,manual_override,manual_multi_class
SRR8775757,organoid_hepatic_medium,organoid hepatic medium,class,manual_override,manual_multi_class
SRR9325677,hepatic_endoderm,hPSC hepatic endoderm,class,manual_override,manual_multi_class
SRR9325678,hepatic_endoderm,hPSC hepatic endoderm,class,manual_override,manual_multi_class
SRR8775758,mature_hepatocytes,hPSC mature hepatocytes,class,manual_override,manual_multi_class
SRR8775755,pluripotent_stem_cell,human pluripotent stem cell,class,manual_override,manual_multi_class
SRR8775756,pluripotent_stem_cell,human pluripotent stem cell,class,manual_override,manual_multi_class
SRR8775763,organoid_differentiation_medium,organoid differentiation medium,class,manual_override,manual_multi_class
SRR8775752,hepatic_endoderm,hPSC hepatic endoderm,class,manual_override,manual_multi_class
SRR8775761,mature_hepatocytes,hPSC mature hepatocytes,class,manual_override,manual_multi_class
SRR8775760,mature_hepatocytes,hPSC mature hepatocytes,class,manual_override,manual_multi_class
