Run,condition,condition_raw,condition_role,class_field,metadata_status
SRR29300916,mega_01,Mega_01,class,manual_override,manual_multi_class
SRR29302579,mega_02,Mega_02,class,manual_override,manual_multi_class
SRR29300907,mega_01,Mega_01,class,manual_override,manual_multi_class
SRR29302583,mega_02,Mega_02,class,manual_override,manual_multi_class
SRR29302613,wt,WT,control,manual_override,manual_multi_class
SRR29300918,mega_01,Mega_01,class,manual_override,manual_multi_class
SRR29300911,mega_01,Mega_01,class,manual_override,manual_multi_class
SRR29302582,mega_02,Mega_02,class,manual_override,manual_multi_class
SRR29300906,mega_01,Mega_01,class,manual_override,manual_multi_class
SRR29302594,mega_02,Mega_02,class,manual_override,manual_multi_class
SRR29302586,mega_02,Mega_02,class,manual_override,manual_multi_class
SRR29300913,mega_01,Mega_01,class,manual_override,manual_multi_class
SRR29300908,mega_01,Mega_01,class,manual_override,manual_multi_class
SRR29302593,mega_02,Mega_02,class,manual_override,manual_multi_class
SRR29302585,mega_02,Mega_02,class,manual_override,manual_multi_class
SRR29300920,mega_01,Mega_01,class,manual_override,manual_multi_class
SRR29300919,mega_01,Mega_01,class,manual_override,manual_multi_class
SRR29302581,mega_02,Mega_02,class,manual_override,manual_multi_class
SRR29302612,wt,WT,control,manual_override,manual_multi_class
SRR29302588,mega_02,Mega_02,class,manual_override,manual_multi_class
SRR29302591,mega_02,Mega_02,class,manual_override,manual_multi_class
SRR29302592,mega_02,Mega_02,class,manual_override,manual_multi_class
SRR29302589,mega_02,Mega_02,class,manual_override,manual_multi_class
SRR29302590,mega_02,Mega_02,class,manual_override,manual_multi_class
SRR29302584,mega_02,Mega_02,class,manual_override,manual_multi_class
SRR29302609,wt,WT,control,manual_override,manual_multi_class
SRR29302608,wt,WT,control,manual_override,manual_multi_class
SRR29302610,wt,WT,control,manual_override,manual_multi_class
SRR29302580,mega_02,Mega_02,class,manual_override,manual_multi_class
SRR29302611,wt,WT,control,manual_override,manual_multi_class
SRR29300914,mega_01,Mega_01,class,manual_override,manual_multi_class
SRR29302614,wt,WT,control,manual_override,manual_multi_class
SRR29300909,mega_01,Mega_01,class,manual_override,manual_multi_class
SRR29300915,mega_01,Mega_01,class,manual_override,manual_multi_class
SRR29300917,mega_01,Mega_01,class,manual_override,manual_multi_class
SRR29302607,wt,WT,control,manual_override,manual_multi_class
SRR29300910,mega_01,Mega_01,class,manual_override,manual_multi_class
SRR29302587,mega_02,Mega_02,class,manual_override,manual_multi_class
