Run,condition,condition_raw,condition_role,class_field,metadata_status
SRR31149357,brown_preadipocyte_d0,Brown preadipocytes Day 0,class,manual_override,manual_multi_class
SRR31149354,brown_differentiated,Brown differentiated,class,manual_override,manual_multi_class
SRR31149355,brown_differentiated,Brown differentiated,class,manual_override,manual_multi_class
SRR31149358,brown_preadipocyte_d0,Brown preadipocytes Day 0,class,manual_override,manual_multi_class
SRR31149351,white_preadipocyte_d0,White preadipocytes Day 0,class,manual_override,manual_multi_class
SRR31149359,white_differentiated,White differentiated,class,manual_override,manual_multi_class
SRR31149353,brown_differentiated,Brown differentiated,class,manual_override,manual_multi_class
SRR31149364,white_preadipocyte_d0,White preadipocytes Day 0,class,manual_override,manual_multi_class
SRR31149362,white_differentiated,White differentiated,class,manual_override,manual_multi_class
SRR31149352,white_preadipocyte_d0,White preadipocytes Day 0,class,manual_override,manual_multi_class
SRR31149365,brown_preadipocyte_d0,Brown preadipocytes Day 0,class,manual_override,manual_multi_class
SRR31149356,brown_differentiated,Brown differentiated,class,manual_override,manual_multi_class
SRR31149360,white_differentiated,White differentiated,class,manual_override,manual_multi_class
SRR31149366,brown_preadipocyte_d0,Brown preadipocytes Day 0,class,manual_override,manual_multi_class
SRR31149363,white_preadipocyte_d0,White preadipocytes Day 0,class,manual_override,manual_multi_class
SRR31149361,white_differentiated,White differentiated,class,manual_override,manual_multi_class
