Run,condition,condition_raw,condition_role,class_field,metadata_status
SRR3646715,muscle,muscle,class,manual_override,manual_multi_class
SRR3646851,muscle,muscle,class,manual_override,manual_multi_class
SRR3531970,cancer,cancer,treatment,manual_override,manual_multi_class
SRR3646710,cancer,cancer,treatment,manual_override,manual_multi_class
SRR3532666,gland,gland,class,manual_override,manual_multi_class
SRR3646689,cancer,cancer,treatment,manual_override,manual_multi_class
SRR3646816,cancer,cancer,treatment,manual_override,manual_multi_class
SRR3646818,cancer,cancer,treatment,manual_override,manual_multi_class
SRR3532761,epithelium,epithelium,class,manual_override,manual_multi_class
SRR3646810,cancer,cancer,treatment,manual_override,manual_multi_class
SRR3646712,epithelium,epithelium,class,manual_override,manual_multi_class
SRR3646714,muscle,muscle,class,manual_override,manual_multi_class
SRR3646711,cancer,cancer,treatment,manual_override,manual_multi_class
SRR3646819,muscle,muscle,class,manual_override,manual_multi_class
SRR3646836,epithelium,epithelium,class,manual_override,manual_multi_class
SRR3532215,cancer,cancer,treatment,manual_override,manual_multi_class
SRR3646703,epithelium,epithelium,class,manual_override,manual_multi_class
SRR3645935,gland,gland,class,manual_override,manual_multi_class
SRR3646837,epithelium,epithelium,class,manual_override,manual_multi_class
